Name,Last Name,First Name,Position,Height (cm.),Weight (kg),Birthday,Age,Nationality,Domestic/International,College,Current WNBA Team (or Last),Draft Pick,Draft Year,Year Started,Seasons in League,Active/2021,Played in 2020?,Use
"Achonwa, Natalie",Achonwa,Natalie,F,190,86,11/22/92,28.8,Canada,International,Notre Dame,MIN,9,2014,2015,7,Y,Y,0
"Agnew, Jaylyn",Agnew,Jaylyn,F,180,67,7/21/97,24.2,United States,Domestic,Creighton,ATL,24,2020,2020,1,N,Y,0
"Alarie, Bella",Alarie,Bella,C/F,193,86,4/23/98,23.4,United States,Domestic,Princeton,DAL,5,2020,2020,2,Y,Y,0
"Alexander, Kayla",Alexander,Kayla,C,193,88,1/5/91,30.7,Canada,International,Syracuse,MIN,8,2013,2013,8,N,Y,0
"Allemand, Julie",Allemand,Julie,G,173,66,7/7/96,25.2,Belgium,International,NA,IND,33,2016,2020,1,N,Y,0
"Allen, Lindsay",Allen,Lindsay,G,173,65,3/20/95,26.5,United States,Domestic,Notre Dame,IND,14,2017,2017,4,Y,Y,0
"Allen, Rebecca",Allen,Rebecca,F,188,73,11/6/92,28.8,Australia,International,NA,NYL,NA, NA,2015,6,Y,N,0
"Alleyne, Jillian",Alleyne,Jillian,C/F,188,87,9/8/94,27,United States,Domestic,Oregon,WAS,20,2016,2019,2,Y,N,0
"Anigwe, Kristine",Anigwe,Kristine,C/F,193,90,3/31/97,24.5,United Kingdom,International,California,LAS,9,2019,2019,3,Y,Y,0
"Atkins, Ariel",Atkins,Ariel,G,173,75,7/30/90,31.2,United States,Domestic,Texas,WAS,7,2018,2018,4,Y,Y,0
"Augustus, Seimone",Augustus,Seimone,G/F,183,78,4/30/84,37.4,United States,Domestic,LSU,LAS,1,2006,2006,15,N,Y,0
"Banham, Rachel",Banham,Rachel,G,175,78,7/15/93,28.2,United States,Domestic,Minnesota,MIN,4,2016,2016,6,Y,Y,0
"Billings, Monique",Billings,Monique,F,193,87,5/2/96,25.3,United States,Domestic,UCLA,ATL,15,2018,2018,4,Y,Y,0
"Bird, Sue",Bird,Sue,G,175,68,10/16/80,40.9,United States,Domestic,UConn,SEA,1,2002,2002,18,Y,Y,0
"Bonner, DeWanna",Bonner,DeWanna,G/F,193,64,8/21/87,34.1,United States,Domestic,Auburn,CON,5,2009,2009,12,Y,Y,0
"Bradford, Crystal",Bradford,Crystal,G,183,74,11/1/93,27.8,United States,Domestic,Central Michigan,ATL,7,2015,2015,2,Y,N,0
"Breland, Jessica",Breland,Jessica,F,188,75,2/23/88,33.6,United States,Domestic,UNC,IND,13,2011,2011,8,Y,N,0
"Brewer, Brittany",Brewer,Brittany,F,196,82,11/6/97,23.8,United States,Domestic,Texas Tech,ATL,17,2020,2020,1,N,Y,0
"Brown, Kalani",Brown,Kalani,C,201,111,3/21/97,24.5,United States,Domestic,Baylor,ATL,7,2019,2019,3,Y,Y,0
"Brown, Lexie",Brown,Lexie,G,175,72,10/27/94,26.9,United States,Domestic,Duke,CHI,9,2018,2018,4,Y,Y,0
"Burdick, Cierra",Burdick,Cierra,F,188,78,9/30/93,28,United States,Domestic,Tennessee,SEA,14,2015,2015,5,Y,Y,0
"Burke, Kennedy",Burke,Kennedy,G,185,82,2/14/97,24.6,United States,Domestic,UCLA,SEA,22,2019,2019,3,Y,Y,0
"Cambage, Liz",Cambage,Liz,C,203,97,8/18/91,30.1,United Kingdom,International,,LVA,2,2011,2011,5,Y,N,0
"Canada, Jordin",Canada,Jordin,G,168,61,8/11/95,26.1,United States,Domestic,UCLA,SEA,5,2018,2018,4,Y,Y,0
"Cannon, Emma",Cannon,Emma,F,188,86,6/1/89,32.3,United States,Domestic,Florida Southern,IND,NA,NA,2017,3,Y,Y,0
"Carleton, Bridget",Carleton,Bridget,F,185,81,5/22/97,24.3,Canada,International,Iowa State,MIN,21,2019,2019,3,Y,Y,0
"Carrington, DiJonai",Carrington,DiJonai,G/F,180,79,1/8/98,23.7,United States,Domestic,"Stanford, Baylor",CON,20,2021,2021,1,Y,N,0
"Carson, Essence",Carson,Essence,G,183,73,7/28/86,35.2,United States,Domestic,Rutgers,CON,7,2008,2008,13,N,Y,0
"Carter, Chennedy",Carter,Chennedy,G,175,64,11/14/98,22.8,United States,Domestic,Texas A&M,ATL,4,2020,2020,2,Y,Y,0
"Charles, Kaila",Charles,Kaila,G/F,185,75,3/23/98,23.5,United States,Domestic,Maryland,CON,23,2020,2020,2,Y,Y,0
"Charles, Tina",Charles,Tina,C,193,87,12/5/98,22.8,United States,Domestic,UConn,WAS,1,2010,2010,11,Y,N,0
"Clarendon, Layshia",Clarendon,Layshia,G,175,71,5/2/91,30.3,United States,Domestic,California,MIN,9,2013,2013,9,Y,Y,0
"Clark, Alysha",Clark,Alysha,F,180,75,7/7/87,34.2,United States,Domestic,Middle Tennessee,SEA,17,2010,2012,9,N,Y,0
"Cloud, Natasha",Cloud,Natasha,G,175,72,2/22/92,29.6,United States,Domestic,Saint Joseph's,WAS,15,2015,2015,6,Y,N,0
"Coates, Alaina",Coates,Alaina,C,193,102,4/7/95,26.4,United States,Domestic,South Carolina,WAS,2,2017,2018,3,N,Y,0
"Coffey, Nia",Coffey,Nia,F,185,82,6/11/95,26.3,United States,Domestic,Northwestern,LAS,5,2017,2017,5,Y,Y,0
"Collier, Charli",Collier,Charli,C/F,196,85,9/22/99,22,United States,Domestic,Texas,DAL,1,2021,2021,1,Y,N,0
"Collier, Napheesa",Collier,Napheesa,F,185,82,9/23/96,25,United States,Domestic,UConn,MIN,NA,NA,2019,3,Y,Y,0
"Colson, Sydney",Colson,Sydney,G,173,63,8/6/89,32.1,United States,Domestic,Texas A&M,CHI,16,2011,2011,7,N,Y,0
"Cooper, Te'a",Cooper,Te'a,G,173,72,4/16/97,24.4,United States,Domestic,Baylor,LAS,18,2020,2020,2,Y,Y,0
"Copper, Kahleah",Copper,Kahleah,G/F,185,70,8/28/94,27.1,United States,Domestic,Rutgers,CHI,7,2016,2016,6,Y,Y,0
"Cox, Lauren",Cox,Lauren,F,193,93,4/20/98,23.4,United States,Domestic,Baylor,LAS,3,2020,2020,2,Y,Y,0
"Cunningham, Sophie",Cunningham,Sophie,G,185,77,8/16/96,25.1,United States,Domestic,Missouri,PHO,13,2019,2019,3,Y,Y,0
"Dangerfield, Crystal",Dangerfield,Crystal,G,165,55,5/11/98,23.3,United States,Domestic,UConn,MIN,16,2020,2020,2,Y,Y,0
"Dantas, Damiris",Dantas,Damiris,F,190,91,11/17/92,28.8,Brazil,International,Real Celta Vigo,MIN,12,2012,2014,7,Y,Y,0
"Davis, Kaela",Davis,Kaela,F,188,77,3/15/95,26.5,United States,Domestic,"Georgia Tech, South Carolina",ATL,10,2017,2017,4,N,Y,0
"Davis, Rennia",Davis,Rennia,F,188,72,2/24/99,22.6,United States,Domestic,Tennessee,MIN,9,2021,2021,1,N,N,0
"Delle Donne, Elena",Delle Donne,Elena,G/F,196,84,9/5/89,32,United States,Domestic,Delaware,WAS,1,2013,2013,8,Y,N,0
"DeShields, Diamond",DeShields,Diamond,G,185,73,3/5/95,26.5,United States,Domestic,Tennessee,CHI,3,2018,2018,4,Y,Y,0
"Dietrick, Blake",Dietrick,Blake,G,178,72,7/19/93,28.2,United States,Domestic,Princeton,ATL,NA,NA,2016,5,Y,N,0
"Diggins-Smith, Skylar",Diggins-Smith,Skylar,G,175,66,8/2/90,31.1,United States,Domestic,Notre Dame,PHO,3,2013,2013,8,Y,y,0
"Dolson, Stefanie",Dolson,Stefanie,C,196,104,1/8/92,29.7,United States,Domestic,UConn,CHI,6,2014,2014,8,Y,Y,0
"Doyle, Kathleen",Doyle,Kathleen,G,175,72,6/11/98,23.3,United States,Domestic,Iowa,IND,14,2020,2020,1,N,Y,0
"Dungee, Chelsea",Dungee,Chelsea,G,178,74,5/11/97,24.3,United States,Domestic,"Oklahoma, Arkansas",DAL,5,2021,2021,1,Y,N,0
"Dupree, Candice",Dupree,Candice,F,188,80,8/16/84,37.1,United States,Domestic,Temple,ATL,6,2006,2006,16,Y,Y,0
"Durr, Asia",Durr,Asia,G,178,68,4/5/97,24.4,United States,Domestic,Louisville,NYL,2,2019,2019,1,N,N,0
"Evans, Dana",Evans,Dana,G,168,65,8/1/98,23.1,United States,Domestic,Louisville,CHI,13,2021,2021,1,Y,N,0
"Fowles, Sylvia",Fowles,Sylvia,C,198,98,10/6/85,35.9,United States,Domestic,LSU,MIN,2,2008,2008,14,Y,Y,0
"Gemelos, Jacki",Gemelos,Jacki,G,183,74,11/22/88,32.8,United States,Domestic,USC,WAS,31,2012,2015,2,N,Y,0
"Gondrezick, Kysre",Gondrezick,Kysre,G,175,68,7/27/97,24.2,United States,Domestic,"Michigan, West Virginia",IND,4,2021,2021,1,Y,N,0
"Gray, Allisha",Gray,Allisha,G,183,75,1/12/95,26.7,United States,Domestic,"UNC, South Carolina",DAL,4,2017,2017,5,Y,Y,0
"Gray, Chelsea",Gray,Chelsea,G,180,77,10/8/92,28.9,United States,Domestic,Duke,LVA,11,2014,2015,7,Y,Y,0
"Gray, Reshanda",Gray,Reshanda,F,188,87,6/1/93,28.3,United States,Domestic,California,NYL,16,2015,2015,5,Y,Y,1
"Griner, Brittney",Griner,Brittney,C,206,92,10/18/90,30.9,United States,Domestic,Baylor,PHO,1,2013,2013,9,Y,Y,0
